prep1,prep2,mean_diff,w_pval,FDR
RA,RA,0.0,,
RA,Binary,0.015030640192261746,0.5205607866228092,0.9131154346167543
RA,Log-Std,-0.00014815868313544645,0.7878679301393277,0.9131154346167543
RA,ALR,-0.006087800694009382,0.8306541132660641,0.9131154346167543
RA,CLR,-0.0017532584912285376,0.8522410723089706,0.9131154346167543
RA,GPTemb,0.07138227748088932,0.03593049574556062,0.13473935904585232
Binary,RA,-0.015030640192261746,0.5205607866228092,0.9131154346167543
Binary,Binary,0.0,,
Binary,Log-Std,-0.015178798875397193,0.5664997929488891,0.9131154346167543
Binary,ALR,-0.021118440886271128,0.4346640828734962,0.9131154346167543
Binary,CLR,-0.016783898683490284,0.4939278649908374,0.9131154346167543
Binary,GPTemb,0.056351637288627576,0.09287867749299039,0.2786360324789712
Log-Std,RA,0.00014815868313544645,0.7878679301393277,0.9131154346167543
Log-Std,Binary,0.015178798875397193,0.5664997929488891,0.9131154346167543
Log-Std,Log-Std,0.0,,
Log-Std,ALR,-0.005939642010873936,0.7772631587613432,0.9131154346167543
Log-Std,CLR,-0.0016050998080930912,1.0,1.0
Log-Std,GPTemb,0.07153043616402477,0.026803941662365105,0.13401970831182553
ALR,RA,0.006087800694009382,0.8306541132660641,0.9131154346167543
ALR,Binary,0.021118440886271128,0.4346640828734962,0.9131154346167543
ALR,Log-Std,0.005939642010873936,0.7772631587613432,0.9131154346167543
ALR,ALR,0.0,,
ALR,CLR,0.0043345422027808445,0.6940286786593788,0.9131154346167543
ALR,GPTemb,0.0774700781748987,0.024855553961970145,0.13401970831182553
CLR,RA,0.0017532584912285376,0.8522410723089706,0.9131154346167543
CLR,Binary,0.016783898683490284,0.4939278649908374,0.9131154346167543
CLR,Log-Std,0.0016050998080930912,1.0,1.0
CLR,ALR,-0.0043345422027808445,0.6940286786593788,0.9131154346167543
CLR,CLR,0.0,,
CLR,GPTemb,0.07313553597211786,0.016147199225088116,0.13401970831182553
GPTemb,RA,-0.07138227748088932,0.03593049574556062,0.13473935904585232
GPTemb,Binary,-0.056351637288627576,0.09287867749299039,0.2786360324789712
GPTemb,Log-Std,-0.07153043616402477,0.026803941662365105,0.13401970831182553
GPTemb,ALR,-0.0774700781748987,0.024855553961970145,0.13401970831182553
GPTemb,CLR,-0.07313553597211786,0.016147199225088116,0.13401970831182553
GPTemb,GPTemb,0.0,,
