model,1,2,3,4
ElasticNet_DebiasM,0.6333802816901408,0.527056277056277,0.7388888888888888,0.43266630611141155
RandomForest_DebiasM,0.5995774647887324,0.4588744588744588,0.7111111111111111,0.5186587344510546
TabPFN_DebiasM,0.5378873239436619,0.4751082251082251,0.85,0.4607896160086533
ElasticNet_ComBat,0.5625352112676056,0.5313852813852814,0.7400000000000001,0.42509464575446193
RandomForest_ComBat,0.5591549295774647,0.49350649350649356,0.7155555555555555,0.5530016224986479
TabPFN_ComBat,0.6269014084507043,0.49242424242424243,0.67,0.4337479718766901
ElasticNet_MMUPHin,,,,
RandomForest_MMUPHin,,,,
TabPFN_MMUPHin,,,,
